"","Crime Type","Occurance"
"32","THEFT",568
"3","BATTERY",298
"9","DECEPTIVE PRACTICE",197
"7","CRIMINAL DAMAGE",164
"25","OTHER OFFENSE",112
"2","ASSAULT",111
"4","BURGLARY",107
"17","MOTOR VEHICLE THEFT",78
"29","ROBBERY",64
"8","CRIMINAL TRESPASS",45
"18","NARCOTICS",37
"6","CRIM SEXUAL ASSAULT",24
"33","WEAPONS VIOLATION",16
"23","OFFENSE INVOLVING CHILDREN",11
"30","SEX OFFENSE",9
"28","PUBLIC PEACE VIOLATION",7
"13","INTERFERENCE WITH PUBLIC OFFICER",2
"1","ARSON",1
"11","HOMICIDE",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"15","KIDNAPPING",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
