"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"149","Who's cuter Emily's nasty ass dog or my precious poon? @Emforbes99 https://t.co/YYKP2Pyqln",0,FALSE,FALSE,"806242978989744128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:04:40 +0000 2016",NA,NA,"en",3,FALSE,"Hidden Leaf Village","2216346974","T.V.P. GANG gratata",TRUE,"Tue Nov 26 20:11:31 +0000 2013",8493,317,2656,FALSE,NA,"Tanner",NA,"en",NA,250,"BIGHEAD_2000","US","United States","city","Waverly, MI",NA,NA,42.7331245,-84.6613215,NA,NA,NA,NA
"178","Diamond I want a doggie / puppy <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><U+2764><U+FE0F><U+FE0F> I want a boy tho ....",0,FALSE,FALSE,"806243007917936647",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:04:47 +0000 2016",NA,NA,"en",5,FALSE,"IG:foreverprettytye","94230043","<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>25<ed><U+00A0><U+00BD><ed><U+00B1><U+00AD><ed><U+00A0><U+00BC><ed><U+00BF><U+00B3><U+FE0F><U+200D><ed><U+00A0><U+00BC><ed><U+00BC><U+0088><U+2795>Aries<U+2648><U+FE0F> <ed><U+00A0><U+00BD><ed><U+00B3><U+008D>D<U+303D><U+FE0F>V Area  <ed><U+00A0><U+00BD><ed><U+00B1><U+0099>Aspiring +sizeModel <ed><U+00A0><U+00BD><ed><U+00B1><U+00BB>Sheprettytye<U+2800><U+2800><U+2800> <ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB>",TRUE,"Thu Dec 03 02:01:29 +0000 2009",57110,2086,6160,FALSE,NA,"PrettyTye<ed><U+00A0><U+00BD><ed><U+00B2><U+0095>","Eastern Time (US & Canada)","en",-18000,2366,"Pretty_Tye","US","United States","city","Baltimore, MD",NA,NA,39.284713,-76.620482,NA,NA,NA,NA
"182","Jan 20 th can come soon enough  MAD DOG MATTIS WILL SHOW OBAMA WHAT STRENGTH REALLY MEANS   BYE BYE YOU MUSLIM BITCH  TRAITOR",0,FALSE,FALSE,"806243011315122176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:04:47 +0000 2016",NA,NA,"en",5,FALSE,"United States","274369044","Trump all the way ..Avenger",TRUE,"Wed Mar 30 06:02:06 +0000 2011",2129,63,2965,FALSE,NA,"The Accountant","Eastern Time (US & Canada)","en",-18000,67,"CrazydealsBobby","US","United States","admin","Arizona, USA",NA,NA,34.1682535,-111.931711,NA,NA,NA,NA
"289","@thereferrell https://t.co/vMPvtTBEjc",0,FALSE,FALSE,"806243098141585408","thereferrell","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:05:08 +0000 2016",NA,"757015854445948928","und",0,FALSE,"Orlando","1043591828","Engineer.  Loves dogs, bicycling, learning and home improvement. Opinions are my own.",TRUE,"Sat Dec 29 01:54:33 +0000 2012",588,121,296,FALSE,NA,"Tim Ferrell",NA,"en",NA,140,"ferrell_tim","US","United States","city","Lake Mary, FL",NA,NA,28.7574865,-81.3322935,NA,NA,"http://youtu.be/x9mOmVaEs6g?a","https://t.co/vMPvtTBEjc"
"436","what did we do to deserve dogs https://t.co/RXPmdH2XyW",0,FALSE,FALSE,"806243193750691841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:05:31 +0000 2016",NA,NA,"en",1,FALSE,NA,"1035468757","greenville, sc",TRUE,"Tue Dec 25 19:33:33 +0000 2012",6644,537,3655,FALSE,NA,"JudithKate",NA,"en",NA,284,"judith_kate1","US","United States","admin","South Carolina, USA",NA,NA,33.6311395,-80.926628,NA,NA,"http://www.petitems2day.info/US/landing-static/twitter09/?id=http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5337889868&item=112228457745&vectorid=229466&lgeo=1","https://t.co/RXPmdH2XyW"
"469","They LIT https://t.co/uQOS8nET1R",0,FALSE,FALSE,"806243215208747008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:05:36 +0000 2016",NA,NA,"en",6,FALSE,"Detroit","50864024","#RIPCaitlyn <U+203C><U+FE0F>| MIA<U+2708><U+FE0F>",TRUE,"Fri Jun 26 01:33:22 +0000 2009",105657,1152,30385,FALSE,NA,"baby a<U+2744><U+FE0F>","Atlantic Time (Canada)","en",-14400,99,"amber_erica300","US","United States","city","Livonia, MI",NA,NA,42.3973155,-83.3733495,NA,NA,"http://fxn.ws/2gYyVet","https://t.co/uQOS8nET1R"
"539","Me last night https://t.co/9jmnKqBPVN",0,FALSE,FALSE,"806243264118411264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Dec 06 21:05:48 +0000 2016",NA,NA,"en",10,FALSE,NA,"2713671092","peace||
love||
positivity||

mitchell<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><U+266C>",TRUE,"Thu Aug 07 04:21:25 +0000 2014",3899,212,6531,FALSE,"https://youtu.be/agpy8DDwmT8","bobbysoxers",NA,"en",NA,340,"BobbySoxer19946","US","United States","admin","California, USA",NA,NA,37.2691755,-119.3066075,NA,NA,"https://www.instagram.com/p/BNsK4BwBHak/","https://t.co/9jmnKqBPVN"
"583","#GA @GAAnimasValley @AnimalRescueLea  @GAANIMASVALLEY @STREETDOGFDN  @SGDRESCUE https://t.co/9MGGGzbTPW",0,FALSE,FALSE,"806243290286854144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Dec 06 21:05:54 +0000 2016",NA,NA,"und",76,FALSE,"Englewood, CO","97248301","PRO NO-KILL SHELTERS!Mama of my 4 legged son, Harvey Dent<U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+00BE>ANIMAL RIGHTS/DEATHROW DOG RT'r! #AdoptDontShop#EndBSL 
Proud Lakota woman<U+270C>#NoDAPL",TRUE,"Wed Dec 16 17:06:44 +0000 2009",21568,1029,5159,FALSE,NA,"HarveyDent's Mama<ed><U+00A0><U+00BD><ed><U+00B0><U+00BE>","America/Denver","en",-25200,1165,"ladyleesa","US","United States","city","Englewood, CO",NA,NA,39.647635,-104.99719,NA,NA,"https://www.instagram.com/p/BNsK5liAfrE/","https://t.co/9MGGGzbTPW"
"633","I dropped my burrito on the floor and my dog ate it :/",0,FALSE,FALSE,"806243319319773184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:06:01 +0000 2016",NA,NA,"en",0,FALSE,"Lubbock, TX","760814772","sc: vmedrano25",TRUE,"Thu Aug 16 04:35:21 +0000 2012",3691,642,8323,FALSE,NA,"Victoria Medrano",NA,"en",NA,319,"_medranooo","US","United States","city","Lubbock, TX",NA,NA,33.5705265,-101.897173,NA,NA,NA,NA
"787","Never thought one of my dog snaps would make someone cry but i'm flattered @emileebeugs",0,FALSE,FALSE,"806243441155960832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 21:06:30 +0000 2016",NA,NA,"en",5,FALSE,"University of North Carolina","74308032","because I'm a hard working American #TrueToAtlanta",TRUE,"Tue Sep 15 00:01:09 +0000 2009",4027,303,3887,FALSE,NA,"Spe","Quito","en",-18000,473,"spencetrayn","US","United States","city","Chapel Hill, NC",NA,NA,35.9194415,-79.02602,NA,NA,NA,NA
